district,hour,pm10,pm25,o3,no2,co,so2
마포구,12,36.061281337047355,20.21629213483146,0.041280833333333336,0.016820833333333333,0.3625,0.002766666666666667
마포구,13,35.40449438202247,20.473239436619718,0.04620473537604457,0.015371111111111111,0.3473333333333333,0.002766111111111111
마포구,14,33.98587570621469,19.161931818181817,0.04937787114845939,0.014363966480446926,0.3365921787709497,0.002753072625698324
마포구,15,34.39660056657224,19.71549295774648,0.05106760563380282,0.014072752808988764,0.32873595505617975,0.0027450704225352113
마포구,16,32.97922848664688,18.54705882352941,0.05161176470588235,0.01443392330383481,0.3246902654867257,0.002748224852071006
마포구,17,32.674698795180724,18.884615384615383,0.04952566371681416,0.015399109792284866,0.3259347181008902,0.0027139880952380953
마포구,18,30.873563218390803,18.0,0.04494723756906078,0.017932222222222224,0.3456111111111111,0.0026808333333333332
마포구,19,30.847887323943663,18.723463687150836,0.0393478021978022,0.020247252747252746,0.3689010989010989,0.002671153846153846
마포구,20,30.044077134986225,17.99171270718232,0.03488983516483516,0.021881593406593406,0.3882417582417582,0.0026324175824175822
마포구,21,32.14088397790055,19.696132596685082,0.03194010989010989,0.022465384615384616,0.4051098901098901,0.0026203296703296705
마포구,22,31.955801104972377,19.79501385041551,0.030278846153846153,0.022289010989010993,0.4073901098901099,0.0025739010989010986
마포구,23,31.653739612188367,19.46831955922865,0.029088736263736266,0.02188379120879121,0.4078846153846154,0.0025392857142857144
서대문구,0,28.02,17.337950138504155,0.028614049586776862,0.015693112947658402,0.5555153203342619,0.0035776203966005663
서대문구,1,27.08,17.418282548476455,0.028508815426997246,0.014562809917355372,0.5555124653739612,0.0035592067988668556
서대문구,2,27.064425770308123,17.069444444444443,0.028300550964187328,0.013533608815426998,0.5553481894150418,0.0036028409090909093
서대문구,3,26.155807365439095,16.591666666666665,0.027878787878787878,0.013026997245179063,0.54725,0.003625071225071225
서대문구,4,25.655270655270655,16.477777777777778,0.027247658402203858,0.012907438016528924,0.5414722222222222,0.0036886039886039885
서대문구,5,25.661971830985916,16.405555555555555,0.026030853994490358,0.013436639118457301,0.5378055555555556,0.0037142450142450146
서대문구,6,25.758522727272727,16.46132596685083,0.02360826446280992,0.015539669421487604,0.5427222222222222,0.003724216524216524
서대문구,7,25.915254237288135,17.091666666666665,0.02151404958677686,0.017995041322314047,0.552382271468144,0.0036997150997150996
서대문구,8,27.144886363636363,17.05,0.023092561983471073,0.018187327823691462,0.55601108033241,0.003651988636363637
서대문구,9,28.453521126760563,17.65193370165746,0.026603030303030305,0.01749641873278237,0.5484764542936288,0.0036039886039886037
서대문구,10,30.115819209039547,18.10335195530726,0.03167257617728532,0.016018005540166205,0.5154874651810585,0.003453868194842407
서대문구,11,30.687323943661973,17.46388888888889,0.03668333333333333,0.01487617728531856,0.47652777777777783,0.0032326647564469915
서대문구,12,30.473087818696882,16.877094972067038,0.042053631284916196,0.01321927374301676,0.4455742296918767,0.003147277936962751
서대문구,13,30.228323699421967,16.870786516853933,0.04668487394957983,0.012024157303370786,0.42504225352112673,0.0030757925072046107
서대문구,14,30.82492581602374,16.858381502890172,0.05004885057471265,0.01107816091954023,0.40801152737752167,0.003063126843657817
서대문구,15,30.705539358600582,16.111747851002864,0.05199794721407625,0.010453529411764705,0.3960294117647059,0.003058787878787879
서대문구,16,30.853025936599423,16.070422535211268,0.051906,0.010981714285714286,0.39225714285714286,0.0030620588235294116
