name,longitude,latitude,address
서대문구-가재울어린이공원,126.91925742,37.573135525,서울특별시 서대문구 모래내로15길 37
한강시민공원잠원지구,127.0116944,37.52183333,서울특별시 서초구 잠원동 147-1
한강시민공원잠원지구,127.0131111,37.52302778,서울특별시 강남구 신사동 488-1
한강시민공원잠원지구,127.0140556,37.52386111,서울특별시 강남구 신사동 488-1
한강시민공원잠원지구,127.0109167,37.52094444,서울특별시 서초구 잠원로 221-124
응암9구역어린이공원,126.9229722,37.58666667,서울특별시 은평구 백련산로 10
하랑어린이공원,126.931128605,37.600245303,서울특별시 은평구 은평로18길 12-8
한강시민공원잠원지구,127.012236931,37.521821481,서울특별시 서초구 잠원로 221-124
노원구-당현어린이공원-1,127.074883852,37.660262084,서울특별시 노원구 덕릉로83길 12
한강시민공원(여의도안내센터),126.928517035,37.531369929,서울특별시 영등포구 여의도동 84-9
한강시민공원망원지구,126.9218056,37.54388889,서울특별시 마포구 상수동 361
한강시민공원잠원지구,127.0111389,37.52077778,서울특별시 서초구 잠원로 221-124
사육신공원,126.9481944,37.51405556,서울특별시 동작구 노량진로 191
한강시민공원잠원지구,127.0168611,37.52627778,서울특별시 강남구 압구정동 386
도선어린이공원,127.0313611,37.56544444,서울특별시 성동구 무학로8길 8
응봉근린공원,127.0296111,37.54938889,서울특별시 성동구 독서당로 375
물새 어린이공원,126.96275,37.50852778,서울특별시 동작구 서달로15길 12
한강시민공원잠원지구,127.0084444,37.51833333,서울특별시 서초구 잠원동 121
한강시민공원잠원지구,127.0066389,37.51705556,서울특별시 서초구 잠원동 121
한강시민공원잠원지구,127.0181667,37.52736111,서울특별시 강남구 압구정동 386
한울어린이공원,127.0136111,37.60594444,서울특별시 성북구 정릉로27가길 6
정릉동적환장쉼터,127.01596017,37.60362969,서울특별시 성북구 정릉로31가길 2
본동 어린이공원,126.9545556,37.51069444,서울특별시 동작구 노량진로26길 32-12
솔숲어린이공원,127.0148611,37.60483333,서울특별시 성북구 서경로 12
한강시민공원반포지구,126.9988611,37.51233333,서울특별시 서초구 잠원동 122-1
한강시민공원잠원지구,127.010694645,37.519714945,서울특별시 서초구 잠원동 121
북한산도시자연공원,126.9411944,37.61055556,서울특별시 은평구 진흥로 290
응봉근린공원,127.0298889,37.54880556,서울특별시 성동구 응봉동 269
한강시민공원잠원지구,127.010009347,37.518950459,서울특별시 서초구 잠원동 121
백련공원아리수샘터,126.926015446,37.59449929,서울특별시 은평구 백련산로4길 25
